,LocationID,Borough,zone,service_zone,latitude,longitude
0,1,EWR,Newark Airport,EWR,40.68906405,-74.17725485035348
1,2,Queens,Jamaica Bay,Boro Zone,40.6039936,-73.8354124
2,3,Bronx,Allerton,Boro Zone,39.915319,-87.93321507559128
3,4,Manhattan,Alphabet City,Yellow Zone,40.7251022,-73.9795833
4,5,Staten Island,Arden Heights,Boro Zone,53.2843196,-7.492801
5,6,Staten Island,Arrochar,Boro Zone,56.1954653,-4.7480746
6,7,Queens,Astoria,Boro Zone,46.1882007,-123.8319802
7,8,Queens,Astoria Park,Boro Zone,33.8241622,-78.8918751
8,9,Queens,Auburndale,Boro Zone,28.0653422,-81.7888642
9,10,Queens,Baisley Park,Boro Zone,42.2038609,-83.1731182
10,11,Brooklyn,Bath Beach,Boro Zone,40.6018495,-74.000501
11,12,Manhattan,Battery Park,Yellow Zone,40.702786,-74.01577307510607
12,13,Manhattan,Battery Park City,Yellow Zone,40.7110166,-74.0169369
13,14,Brooklyn,Bay Ridge,Boro Zone,40.6320062,-74.0232101
14,15,Queens,Bay Terrace,Boro Zone,40.5552778,-74.1341667
15,16,Queens,Bayside,Boro Zone,40.7684351,-73.7770774
16,17,Brooklyn,Bedford,Boro Zone,40.0271453,-78.5237447
17,18,Bronx,Bedford Park,Boro Zone,41.7690519,-87.7770096
18,19,Queens,Bellerose,Boro Zone,40.7242205,-73.7164845
19,20,Bronx,Belmont,Boro Zone,48.4095949,7.234863
20,21,Brooklyn,Bensonhurst East,Boro Zone,,
21,22,Brooklyn,Bensonhurst West,Boro Zone,,
22,23,Staten Island,Bloomfield,Boro Zone,40.7510398,-92.4143872
23,24,Manhattan,Bloomingdale,Yellow Zone,41.9575285,-88.0809036
24,25,Brooklyn,Boerum Hill,Boro Zone,40.68562615,-73.98417065807277
25,26,Brooklyn,Borough Park,Boro Zone,40.633993,-73.9968059
26,27,Queens,Breezy Point,Boro Zone,46.6166305,-94.2169351
27,28,Queens,Briarwood,Boro Zone,38.2781258,-85.5930164
28,29,Brooklyn,Brighton Beach,Boro Zone,40.57964365,-73.96111022551311
29,30,Queens,Broad Channel,Boro Zone,40.6064008,-73.81901879728136
30,31,Bronx,Bronx Park,Boro Zone,40.8588468,-73.87590377196466
31,32,Bronx,Bronxdale,Boro Zone,40.8506558,-73.8665241
32,33,Brooklyn,Brooklyn Heights,Boro Zone,40.696084850000005,-73.9950278391265
33,34,Brooklyn,Brooklyn Navy Yard,Boro Zone,40.6997716,-73.9753359
34,35,Brooklyn,Brownsville,Boro Zone,25.9024289,-97.4981698
35,36,Brooklyn,Bushwick North,Boro Zone,40.7857701,-73.0240088
36,37,Brooklyn,Bushwick South,Boro Zone,40.6942867,-73.92588360783884
37,38,Queens,Cambria Heights,Boro Zone,40.6945474,-73.7384653
38,39,Brooklyn,Canarsie,Boro Zone,40.643715,-73.9006921
39,40,Brooklyn,Carroll Gardens,Boro Zone,40.6784201,-73.9948021
40,41,Manhattan,Central Harlem,Boro Zone,22.921099650000002,-83.19403675174992
41,42,Manhattan,Central Harlem North,Boro Zone,,
42,43,Manhattan,Central Park,Yellow Zone,40.7827725,-73.9653627406542
43,44,Staten Island,Charleston,Boro Zone,32.7884363,-79.9399309
44,45,Manhattan,Chinatown,Yellow Zone,40.7164913,-73.9962504
45,46,Bronx,City Island,Boro Zone,40.84743325,-73.78642953814102
46,47,Bronx,Claremont,Boro Zone,34.0966764,-117.7197785
47,48,Manhattan,Clinton East,Yellow Zone,36.1034126,-84.1318632
48,49,Brooklyn,Clinton Hill,Boro Zone,40.6897222,-73.9652778
49,50,Manhattan,Clinton West,Yellow Zone,42.4216985,-71.6884589
50,51,Bronx,Co-Op City,Boro Zone,40.8738889,-73.8294444
51,52,Brooklyn,Cobble Hill,Boro Zone,40.687547,-73.9973352
52,53,Queens,College Point,Boro Zone,40.7876014,-73.8459682
53,54,Brooklyn,Columbia Street,Boro Zone,40.8718418,-85.4901843
54,55,Brooklyn,Coney Island,Boro Zone,40.57580705,-73.99217527476975
55,56,Queens,Corona,Boro Zone,33.8752945,-117.566444
56,57,Queens,Corona,Boro Zone,33.8752945,-117.566444
57,58,Bronx,Country Club,Boro Zone,25.94096615,-80.30999085833386
58,59,Bronx,Crotona Park,Boro Zone,40.83881315,-73.89239847631723
59,60,Bronx,Crotona Park East,Boro Zone,40.8388211,-73.8884606
60,61,Brooklyn,Crown Heights North,Boro Zone,40.66892195,-73.93293553440904
61,62,Brooklyn,Crown Heights South,Boro Zone,51.2673559,-1.085613593213088
62,63,Brooklyn,Cypress Hills,Boro Zone,40.6770477,-73.8912474
63,64,Queens,Douglaston,Boro Zone,40.768713,-73.7470765
64,65,Brooklyn,Downtown Brooklyn,Boro Zone,40.691572050000005,-73.98676437548126
65,66,Brooklyn,DUMBO,Boro Zone,40.7029052,-73.990118
66,67,Brooklyn,Dyker Heights,Boro Zone,40.6204716,-74.0116668
67,68,Manhattan,East Chelsea,Yellow Zone,37.92252635,-96.76153777067319
68,69,Bronx,East Concourse,Boro Zone,-33.818025649999996,151.0060432782322
